role,group,name,level_code,level_name,cluster
DS_ML,Общие компетенции,"определения, история развития и главные тренды ии",1.0,Базовый,0
DS_ML,Общие компетенции,"процесс, стадии и методологии разработки решений на основе ии (docker, linux/bash, git)",2.0,Продвинутый,6
DS_ML,Общие компетенции,статистические методы и первичный анализ данных,2.0,Продвинутый,4
DS_ML,Общие компетенции,промпт- инжиниринг,,,8
DS_ML,Общие компетенции,инструменты citizends,,,4
DS_ML,Общие компетенции,оценка качества работы методов ии,2.0,Продвинутый,2
DS_ML,Общие компетенции,"языки программирования и библиотеки (python, c++)",2.0,Продвинутый,7
DS_ML,Общие компетенции,этика ии,,,8
DS_ML,Общие компетенции,безопасность ии,,,8
DS_ML,Общие компетенции,цифровые двойники,,,1
DS_ML,Алгоритмы и методы ИИ,методы машинного обучения,2.0,Продвинутый,9
DS_ML,Алгоритмы и методы ИИ,методы оптимизации,2.0,Продвинутый,7
DS_ML,Алгоритмы и методы ИИ,информационный поиск,1.0,Базовый,1
DS_ML,Алгоритмы и методы ИИ,рекомендательные системы,1.0,Базовый,4
DS_ML,Алгоритмы и методы ИИ,анализ изображений и видео,2.0,Продвинутый,6
DS_ML,Алгоритмы и методы ИИ,анализ естественного языка,2.0,Продвинутый,6
DS_ML,Алгоритмы и методы ИИ,основы глубокого обучения,2.0,Продвинутый,9
DS_ML,Алгоритмы и методы ИИ,"глубокое обучение для анализа и генерации изображений, видео",2.0,Продвинутый,6
DS_ML,Алгоритмы и методы ИИ,глубокое обучение для анализа и генерации естественного языка,2.0,Продвинутый,6
DS_ML,Алгоритмы и методы ИИ,обучение с подкреплением и глубокое обучение с подкреплением,1.0,Базовый,6
DS_ML,Алгоритмы и методы ИИ,гибридные модели и piml,,,6
DS_ML,Алгоритмы и методы ИИ,анализ геоданных,,,6
DS_ML,Алгоритмы и методы ИИ,массово параллельные вычисления для ускорения машинного обучения (gpu),,,0
DS_ML,Алгоритмы и методы ИИ,работа с распределенной кластерной системой,1.0,Базовый,4
DS_ML,Алгоритмы и методы ИИ,машинное обучение на больших данных,1.0,Базовый,2
DS_ML,Алгоритмы и методы ИИ,"потоковая обработка данных (data streaming, event processing)",,,2
DS_ML,Алгоритмы и методы ИИ,графовые нейросети,,,6
DS_ML,Работа с данными,"sql базы данных (greenplum, postgres, oracle)",1.0,Базовый,3
DS_ML,Работа с данными,"nosql базы данных (cassandra, mongodb, elasticsearch, neo4j, hbase)",1.0,Базовый,2
DS_ML,Работа с данными,массово параллельная обработка и анализ данных,1.0,Базовый,2
DS_ML,Работа с данными,"hadoop, spark, hive",1.0,Базовый,2
DS_ML,Работа с данными,шины данных (kafka),,,5
DS_ML,Работа с данными,"качество и предобработка данных, подходы и инструменты",2.0,Продвинутый,2
DS_ML,Работа с данными,графы знаний и онтологии,,,6
